Component,d33 (pC/N),Tc (°C)
0.995(0.95K0.5Na0.5NbO3-0.05LiSbO3)-0.005BiScO3,280.0,269
0.99(Na0.485K0.485Li0.03)NbO3-0.01BiScO3,225.0,294
(K0.4675Na0.4675Li0.065)NbO3,250.0,440
0.92(Na0.5K0.5)NbO3–0.06BaZrO3–0.02(Bi0.5Li0.5)TiO3,321.0,293
(Na0.5K0.5)0.975Li0.025Nb0.76Sb0.06Ta0.18O3,352.0,400
0.92(Na0.5K0.5)NbO3–0.02(Bi0.5Li0.5)TiO3–0.06BaZrO3 ,348.0,242
(K0.5Na0.5)NbO3,80.0,410
0.94(K0.5Na0.5)NbO3–0.06LiNbO3,235.0,445
[(K0.5Na0.5)0.97Bi0.01]NbO3,164.0,368
0.98(K0.5Na0.5)NbO3–0.02BiScO3,210.0,245
0.985(K0.5Na0.5)NbO3–0.0175BiScO3,253.0,262
(K0.48Na0.52)0.95Li0.05Sb0.01Nb0.99O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,87.0,406
(K0.48Na0.52)0.95Li0.05Sb0.03Nb0.97O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,163.0,368
(K0.48Na0.52)0.95Li0.05Sb0.05Nb0.95O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,217.0,284
(K0.48Na0.52)0.95Li0.05Sb0.06Nb0.94O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,267.0,273
(K0.48Na0.52)0.95Li0.05Sb0.07Nb0.93O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,225.0,269
(K0.48Na0.52)0.95Li0.05Sb0.08Nb0.92O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,220.0,296
(K0.48Na0.52)0.95Li0.05Sb0.10Nb0.90O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,180.0,360
K0.47Na0.47Li0.06NbO3,235.0,444
0.94K0.49Na0.51NbO3−0.06LiNbO3,246.0,476
(K0.5Na0.5)0.935Li0.065NbO3,188.0,410
(K0.5Na0.5)0.94Li0.06NbO3,235.0,427
0.94K0.5Na0.5NbO3−0.06LiNbO3,215.0,409
0.93K0.5Na0.5NbO3−0.07LiNbO3,240.0,423
0.948(K0.5Na0.5)NbO3− 0.052LiSbO3,265.0,427
0.95(K0.48Na0.52)NbO3−0.05LiSbO3,262.0,466
0.94(K0.5Na0.5)NbO3−0.06LiSbO3,212.0,447
0.95K0.49Na0.51NbO3−0.05LiSbO3,256.0,460
0.95(K0.40Na0.60)NbO3−0.05LiSbO3,280.0,467
0.95(K0.42Na0.58)NbO3−0.05LiSbO3,270.0,403
(Na0.5K0.5)0.952(LiSb)0.048Nb0.952O3,265.0,456
(Na0.5K0.5)0.950(LiSb)0.050Nb0.950O3,283.0,410
(Na0.5K0.5)0.948(LiSb)0.052Nb0.948O3,286.0,435
(Na0.5K0.5)0.946(LiSb)0.054Nb0.946O3,269.0,472
(Na0.5K0.5)0.944(LiSb)0.056Nb0.944O3,272.0,417
K0.5Na0.5NbO3,97.0,420
(K0.44Na0.52)(Nb0.86Ta0.10)O3+0.04LiSbO3,416.0,244
0.94(K0.5Na0.5)NbO3+0.06LiNbO3,235.0,457
0.95(K0.5Na0.5)NbO3+0.05LiTaO3,200.0,476
(K0.5Na0.5)0.935Li0.065NbO3,250.0,434
(K0.5Na0.5)0.96Li0.04Nb0.9Ta0.1O3,160.0,419
0.95K0.5Na0.5NbO3−0.05LiSbO3,215.0,400
(Na0.474K0.474Li0.052)(Nb0.948Sb0.052)O3,242.0,463
(Na0.5K0.5)0.945Li0.055Nb0.96Sb0.04O3,240.0,461
0.93(K0.5Na0.5)NbO3−0.07LiTaO3,200.0,432
0.90(Na0.5K0.5)NbO3–0.07BaZrO3–0.03(Bi0.5Li0.5)TiO3,263.0,276
[(K0.5Na0.5)0.97Li0.03](Nb0.8Ta0.2)O3,234.0,402
(K0.55Na0.45)0.965Li0.035Nb0.80Ta0.20O3 ,262.0,474
0.90(Na0.5K0.5)NbO3–0.08BaZrO3–0.02(Bi0.5Li0.5)TiO3,230.0,244
[(Na0.535K0.480)0.942Li0.058](Nb0.94Ta0.06)O3,232.0,448
(K0.5Na0.5)0.96Li0.04(Nb0.775Ta0.225)O3,208.0,467
Li2O−0.95(Na0.5K0.5)NbO3−0.05LiTaO3,250.0,413
0.90(Na0.5K0.5)NbO3–0.01BaZrO3–0.09(Bi0.5Li0.5)TiO3,57.0,421
0.90(Na0.5K0.5)NbO3–0.02BaZrO3–0.08(Bi0.5Li0.5)TiO3,92.0,404
0.90(Na0.5K0.5)NbO3–0.03BaZrO3–0.07(Bi0.5Li0.5)TiO3,116.0,392
0.90(Na0.5K0.5)NbO3–0.04BaZrO3–0.06(Bi0.5Li0.5)TiO3,136.0,382
0.90(Na0.5K0.5)NbO3–0.06BaZrO3–0.04(Bi0.5Li0.5)TiO3,215.0,261
(Na0.52K0.4375)(Nb0.9075Sb0.05)O3−0.0425LiTaO3,321.0,436
(K0.4425Na0.52Li0.0375)(Nb0.8925Sb0.07Ta0.0375)O3,304.0,415
Li0.04(Na0.54K0.46)0.96Nb0.81Ta0.15Sb0.04O3,293.0,419
0.90(Na0.5K0.5)NbO3–0.09BaZrO3–0.01(Bi0.5Li0.5)TiO3,83.0,408
0.96(K0.48Na0.52)(Nb0.95Ta0.05)O3−0.04LiSbO3,250.0,423
0.97(K0.5Na0.5)NbO3−0.03(Bi0.5Na0.5)TiO3,195.0,352
0.975(K0.5Na0.5)NbO3−0.025(Bi0.5Na0.5)TiO3,256.0,294
0.98(K0.5Na0.5)NbO3−0.02(Bi0.5K0.5)TiO3,251.0,230
0.98(K0.5Na0.5)NbO3−0.02Li0.5Bi0.5TiO3,172.0,364
0.94(Na0.5K0.5)NbO3−0.06BaTiO3,150.0,375
0.95(Na0.5K0.5)NbO3−0.05SrTiO3,195.0,352
0.96(Na0.5K0.5)NbO3−0.04(Bi0.5Na0.5)0.94Ba0.06TiO3,256.0,232
(K0.5Na0.5)NbO3−Ba(Zr0.05Ti0.95)O3−MnO2,234.0,289
K0.5Na0.5NbO3−CaTi0.9Zr0.1O3+MnO2,203.0,259
0.95(Na0.5K0.5)NbO3−0.05CaTiO3,241.0,329
0.97(Na0.5K0.5)NbO3−0.03(Ba0.95Sr0.05)TiO3,136.0,382
0.9825K0.5Na0.5NbO3−0.0175BiScO3,253.0,306
0.99(Na0.5K0.5)NbO3−0.01BiAlO3,202.0,286
0.996(0.95Na0.5K0.5NbO3−0.05LiSbO3)−0.004BiFeO3,260.0,309
0.95(0.995Na0.5K0.5NbO3−0.005BiFeO3)−0.05LiSbO3,257.0,239
0.996[(K0.458Na0.542)0.96Li0.04](Nb0.85Ta0.15)O3−0.004BiFeO3,261.0,279
0.995Li0.03(Na0.53K0.48)0.97Nb0.8Ta0.2O3−0.005BiFeO3,238.0,237
0.995(0.95K0.5Na0.5NbO3−0.05LiSbO3)−0.005BiScO3,280.0,309
0.992(0.95K0.5Na0.5NbO3−0.05LiSbO3)−0.008BiScO3,305.0,303
0.99(Na0.485K0.485Li0.03)NbO3−0.01BiScO3,225.0,239
0.96(0.99K0.5Na0.5NbO3−0.01Bi0.5Na0.5TiO3)−0.04LiSbO3,250.0,308
(K0.42Na0.52Li0.04Ag0.02)(Nb0.91Ta0.05Sb0.04)O3,263.0,454
